chr	pos	gene	tissues	num_features	features_size	regulator_overlapping	regulator_closest	regulator_closest_distance	tissues_WIDE	num_features_WIDE	features_size_WIDE	regulator_overlapping_WIDE	regulator_closest_WIDE	regulator_closest_distance_WIDE	num_features_ALL	features_size_ALL	regulator_overlapping_ALL	regulator_closest_ALL	regulator_closest_distance_ALL
chr1	209989478	IRF6	kidney (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	242	86217	chr1:209989455-209989630	chr1:209989455-209989630	0	left renal pelvis (CHR_E, CHR_S);right renal cortex interstitium (CHR_E, CHR_S);right kidney (CHR_E, CHR_S);right renal pelvis (CHR_E, CHR_S);left kidney (CHR_E, CHR_S);left renal cortex interstitium (CHR_E, CHR_S);renal pelvis (CHR_E, CHR_S);renal cortex interstitium (CHR_E, CHR_S);kidney epithelial cell (CHR_E, ENH_E, ENH_F, PR_F, PR_S);kidney tubule cell (CHR_E);epithelial cell of proximal tubule (CHR_E, ENH_E, PR_F, PR_S);kidney (CHR_E, CHR_S, ENH_F, PR_F, PR_S);renal cortical epithelial cell (CHR_E, CHR_S, PR_F);kidney capillary endothelial cell (CHR_E)	464	158252	chr1:209989455-209989630	chr1:209989455-209989630	0	1286	597475	chr1:209987780-209990814	chr11:17496948-17499370	0
chr1	171621877	MYOC	eye (CHR_E, CHR_S, ENH_F, PR_F)	157	45526	chr1:171621815-171622035	chr1:171621815-171622035	0	retina (CHR_E, CHR_S, PR_F);retina embryonic (CHR_S);eye (CHR_E, CHR_S, ENH_F, PR_F);retinal pigment epithelial cell (CHR_E, ENH_E, ENH_F, PR_F, PR_S)	186	57190	chr1:171621815-171622035	chr1:171621815-171622035	0	1259	468328	chr1:171620893-171622713	chr17:42078653-42080742	0
chr17	42078968	NAGS	liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S)	228	100469	chr17:42078653-42079613	chr17:42078653-42079613	0	small intestine (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);hepatic stellate cell (ENH_F, PR_F);liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S);intestinal epithelial cell (ENH_F, PR_F);hepatocyte (CHR_E, ENH_F, PR_F);right lobe of liver (CHR_E, CHR_S, ENH_E, ENH_S, PR_S)	450	189822	chr17:42078653-42079613	chr17:42078653-42079613	0	1143	685663	chr17:42078653-42080742	chr19:39137503-39151112	0
chrX	38211584	OTC	liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S)	100	51540	chrX:38211503-38212292	chrX:38211503-38212292	0	hepatocyte (CHR_E, ENH_F, PR_F);right lobe of liver (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);hepatic stellate cell (ENH_F, PR_F);liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S)	149	60889	chrX:38211503-38212292	chrX:38211503-38212292	0	1524	558376	chrX:38211503-38212302	chr19:49463885-49474865	0
chr11	31685945	PAX6	retina (CHR_E, CHR_S, PR_F)	234	103857	chr11:31685540-31686265	chr11:31685540-31686265	0	retina (CHR_E, CHR_S, PR_F);eye (CHR_E, CHR_S, ENH_F, PR_F);retinal pigment epithelial cell (CHR_E, ENH_E, ENH_F, PR_F, PR_S)	352	139786	chr11:31685540-31686265	chr11:31685540-31686265	0	1316	517688	chr11:31685540-31686265	chr20:42982955-42987085	0
chr10	23508305	PTF1A	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S)	99	31651	None	chr10:23502854-23502866	5439	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);body of pancreas (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);endocrine pancreas (ENH_S, PR_S)	276	82662	None	chr10:23502854-23502866	5439	1233	472023	None	chr20:42982955-42987085	0
chr10	23508363	PTF1A	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S)	99	31651	None	chr10:23502854-23502866	5497	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);body of pancreas (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);endocrine pancreas (ENH_S, PR_S)	276	82662	None	chr10:23502854-23502866	5497	1233	472023	None	chr20:42982955-42987085	0
chr10	23508365	PTF1A	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S)	99	31651	None	chr10:23502854-23502866	5499	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);body of pancreas (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);endocrine pancreas (ENH_S, PR_S)	276	82662	None	chr10:23502854-23502866	5499	1233	472023	None	chr20:42982955-42987085	0
chr10	23508437	PTF1A	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S)	99	31651	None	chr10:23502854-23502866	5571	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);body of pancreas (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);endocrine pancreas (ENH_S, PR_S)	276	82662	None	chr10:23502854-23502866	5571	1233	472023	None	chrX:38211503-38212302	0
chr10	23508446	PTF1A	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S)	99	31651	None	chr10:23502854-23502866	5580	pancreas (CHR_E, CHR_S, ENH_F, ENH_S, PR_F, PR_S);body of pancreas (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);endocrine pancreas (ENH_S, PR_S)	276	82662	None	chr10:23502854-23502866	5580	1233	472023	None	chrX:55057235-55057616	1
chrX	105251968	SERPINA7	liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S)	33	14866	chrX:105251614-105252493	chrX:105251614-105252493	0	hepatocyte (CHR_E, ENH_F, PR_F);right lobe of liver (CHR_E, CHR_S, ENH_E, ENH_S, PR_S);hepatic stellate cell (ENH_F, PR_F);liver (CHR_E, ENH_E, ENH_F, ENH_S, PR_F, PR_S)	46	17775	chrX:105251614-105252493	chrX:105251614-105252493	0	1637	536729	chrX:105251550-105252509	chrX:135729962-135730864	0
chr7	156061506	SHH	brain (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	342	118549	chr7:156061389-156061599	chr7:156061389-156061599	0	astrocyte of the hippocampus (CHR_E);brain (CHR_E, CHR_S, ENH_F, PR_F, PR_S);astrocyte of the spinal cord (CHR_E, ENH_E, PR_S);midbrain (CHR_S);astrocyte of the cerebellum (CHR_E, PR_F, PR_S);astrocyte (CHR_E, CHR_S, ENH_E, ENH_F, ENH_S, PR_F, PR_S)	400	140001	chr7:156061389-156061599	chr7:156061389-156061599	0	1168	732894	chr7:156061249-156061649	chrX:146991935-146996054	0
chr12	114704515	TBX5	heart (CHR_E, CHR_S, ENH_F, PR_F, PR_S)	317	110840	None	chr12:114702925-114703075	1440	heart right ventricle (CHR_E, ENH_S, PR_S);heart (CHR_E, CHR_S, ENH_F, PR_F, PR_S);heart left ventricle (CHR_E, CHR_S, ENH_E, PR_F, PR_S)	332	119772	None	chr12:114702915-114703075	1440	1382	541307	chr12:114704302-114704713	chrX:153231593-153240670	0
																			
			median	99	44222				median	276	93084			median	1259	532112			
			mean	134.5135135135	48172.8378378378				mean	334.4864864865	105634.675675676			mean	1236.8918918919	554727.972972973			
					sensitivity_mut	0.6216216216					sensitivity_mut	0.6756756757				sensitivity_mut	0.7567567568		
					sensitivity_gene	0.6923076923					sensitivity_gene	0.7692307692				sensitivity_gene	0.8846153846		
